Year_2,Recycling,Incineration,Landfill,Mismanaged,Region
2021,26.70%,36.65%,34.98%,1.67%,China
2020,30.00%,31.66%,35.21%,3.13%,China
2019,27.00%,37.48%,32.61%,2.92%,China
2018,25.45%,41.70%,29.32%,3.53%,China
2017,30.37%,40.58%,25.23%,3.82%,China
2016,31.37%,41.17%,22.14%,5.32%,China
2015,37.64%,37.51%,18.61%,6.24%,China
2014,27.83%,43.93%,19.40%,8.84%,China
2013,35.36%,39.78%,13.56%,11.29%,China
2012,32.45%,41.46%,10.71%,15.38%,China
2011,28.83%,43.22%,10.43%,17.52%,China
2010,28.67%,40.34%,9.17%,21.82%,China
2009,28.30%,39.12%,7.29%,25.28%,China
2008,27.69%,36.42%,6.82%,29.07%,China
2007,26.76%,31.62%,5.61%,36.00%,China
2006,25.43%,32.82%,3.79%,37.95%,China